,Date,Price,Category,Item
338,16-08-2020,100.1,Bread and cereals,Cakes
339,23-08-2020,99.6,Bread and cereals,Cakes
340,30-08-2020,98.9,Bread and cereals,Cakes
341,06-09-2020,98.9,Bread and cereals,Cakes
342,13-09-2020,99,Bread and cereals,Cakes
343,20-09-2020,98.3,Bread and cereals,Cakes
344,27-09-2020,98.1,Bread and cereals,Cakes
345,04-10-2020,98.4,Bread and cereals,Cakes
346,11-10-2020,99.8,Bread and cereals,Cakes
347,18-10-2020,100.2,Bread and cereals,Cakes
348,25-10-2020,100.2,Bread and cereals,Cakes
349,01-11-2020,100.3,Bread and cereals,Cakes
350,08-11-2020,99.8,Bread and cereals,Cakes
351,15-11-2020,99.6,Bread and cereals,Cakes
352,22-11-2020,99.7,Bread and cereals,Cakes
353,29-11-2020,100,Bread and cereals,Cakes
354,06-12-2020,100.8,Bread and cereals,Cakes
355,13-12-2020,101.2,Bread and cereals,Cakes
356,20-12-2020,101.3,Bread and cereals,Cakes
357,27-12-2020,100.8,Bread and cereals,Cakes
358,03-01-2021,99.4,Bread and cereals,Cakes
359,10-01-2021,99.3,Bread and cereals,Cakes
360,17-01-2021,99.5,Bread and cereals,Cakes
361,24-01-2021,99.7,Bread and cereals,Cakes
362,31-01-2021,100.2,Bread and cereals,Cakes
363,07-02-2021,100.1,Bread and cereals,Cakes
364,14-02-2021,99.4,Bread and cereals,Cakes
365,21-02-2021,99.1,Bread and cereals,Cakes
366,28-02-2021,99.3,Bread and cereals,Cakes
367,07-03-2021,99.6,Bread and cereals,Cakes
368,14-03-2021,99.6,Bread and cereals,Cakes
369,07-06-2020,100,Bread and cereals,Cereal bars
370,14-06-2020,99.8,Bread and cereals,Cereal bars
371,21-06-2020,99.4,Bread and cereals,Cereal bars
372,28-06-2020,99.5,Bread and cereals,Cereal bars
373,05-07-2020,98.5,Bread and cereals,Cereal bars
374,12-07-2020,99.5,Bread and cereals,Cereal bars
375,19-07-2020,99.7,Bread and cereals,Cereal bars
376,26-07-2020,99.3,Bread and cereals,Cereal bars
377,02-08-2020,101.5,Bread and cereals,Cereal bars
378,09-08-2020,102.4,Bread and cereals,Cereal bars
379,16-08-2020,99.2,Bread and cereals,Cereal bars
380,23-08-2020,100.1,Bread and cereals,Cereal bars
381,30-08-2020,97,Bread and cereals,Cereal bars
382,06-09-2020,96.3,Bread and cereals,Cereal bars
383,13-09-2020,93.7,Bread and cereals,Cereal bars
384,20-09-2020,94.7,Bread and cereals,Cereal bars
385,27-09-2020,95.7,Bread and cereals,Cereal bars
386,04-10-2020,99.4,Bread and cereals,Cereal bars
387,11-10-2020,99.6,Bread and cereals,Cereal bars
388,18-10-2020,100,Bread and cereals,Cereal bars
389,25-10-2020,100,Bread and cereals,Cereal bars
390,01-11-2020,100.8,Bread and cereals,Cereal bars
391,08-11-2020,101.6,Bread and cereals,Cereal bars
392,15-11-2020,102.3,Bread and cereals,Cereal bars
393,22-11-2020,101.5,Bread and cereals,Cereal bars
394,29-11-2020,101.3,Bread and cereals,Cereal bars
395,06-12-2020,104.1,Bread and cereals,Cereal bars
396,13-12-2020,108.3,Bread and cereals,Cereal bars
397,20-12-2020,109.5,Bread and cereals,Cereal bars
398,27-12-2020,107.3,Bread and cereals,Cereal bars
399,03-01-2021,101.8,Bread and cereals,Cereal bars
400,10-01-2021,97.6,Bread and cereals,Cereal bars
401,17-01-2021,97.6,Bread and cereals,Cereal bars
402,24-01-2021,97.4,Bread and cereals,Cereal bars
403,31-01-2021,101.5,Bread and cereals,Cereal bars
404,07-02-2021,103.3,Bread and cereals,Cereal bars
405,14-02-2021,105.7,Bread and cereals,Cereal bars
406,21-02-2021,107,Bread and cereals,Cereal bars
407,28-02-2021,104.5,Bread and cereals,Cereal bars
408,07-03-2021,102.1,Bread and cereals,Cereal bars
409,14-03-2021,99.9,Bread and cereals,Cereal bars
410,07-06-2020,100,Bread and cereals,Chocolate biscuits
411,14-06-2020,100.4,Bread and cereals,Chocolate biscuits
412,21-06-2020,98.1,Bread and cereals,Chocolate biscuits
413,28-06-2020,97.5,Bread and cereals,Chocolate biscuits
414,05-07-2020,96.3,Bread and cereals,Chocolate biscuits
415,12-07-2020,97.7,Bread and cereals,Chocolate biscuits
416,19-07-2020,96.8,Bread and cereals,Chocolate biscuits
417,26-07-2020,94.6,Bread and cereals,Chocolate biscuits
418,02-08-2020,94.2,Bread and cereals,Chocolate biscuits
419,09-08-2020,93.9,Bread and cereals,Chocolate biscuits
420,16-08-2020,95.1,Bread and cereals,Chocolate biscuits
421,23-08-2020,96.7,Bread and cereals,Chocolate biscuits
422,30-08-2020,97.1,Bread and cereals,Chocolate biscuits
423,06-09-2020,97.5,Bread and cereals,Chocolate biscuits
424,13-09-2020,94.3,Bread and cereals,Chocolate biscuits
425,20-09-2020,93.8,Bread and cereals,Chocolate biscuits
426,27-09-2020,94.3,Bread and cereals,Chocolate biscuits
427,04-10-2020,95.4,Bread and cereals,Chocolate biscuits
428,11-10-2020,95.5,Bread and cereals,Chocolate biscuits
429,18-10-2020,95.6,Bread and cereals,Chocolate biscuits
430,25-10-2020,95.9,Bread and cereals,Chocolate biscuits
431,01-11-2020,95.1,Bread and cereals,Chocolate biscuits
432,08-11-2020,94.3,Bread and cereals,Chocolate biscuits
433,15-11-2020,94.6,Bread and cereals,Chocolate biscuits
434,22-11-2020,95.8,Bread and cereals,Chocolate biscuits
435,29-11-2020,96,Bread and cereals,Chocolate biscuits
436,06-12-2020,94.7,Bread and cereals,Chocolate biscuits
437,13-12-2020,92.1,Bread and cereals,Chocolate biscuits
438,20-12-2020,92,Bread and cereals,Chocolate biscuits
439,27-12-2020,91.7,Bread and cereals,Chocolate biscuits
440,03-01-2021,93.3,Bread and cereals,Chocolate biscuits
441,10-01-2021,96.6,Bread and cereals,Chocolate biscuits
442,17-01-2021,96.6,Bread and cereals,Chocolate biscuits
443,24-01-2021,95.8,Bread and cereals,Chocolate biscuits
444,31-01-2021,94.6,Bread and cereals,Chocolate biscuits
445,07-02-2021,94.5,Bread and cereals,Chocolate biscuits
446,14-02-2021,96.1,Bread and cereals,Chocolate biscuits
447,21-02-2021,97.4,Bread and cereals,Chocolate biscuits
448,28-02-2021,96.7,Bread and cereals,Chocolate biscuits
449,07-03-2021,94.7,Bread and cereals,Chocolate biscuits
450,14-03-2021,94.5,Bread and cereals,Chocolate biscuits
451,07-06-2020,100,Bread and cereals,Cream crackers
452,14-06-2020,99.2,Bread and cereals,Cream crackers
453,21-06-2020,99.3,Bread and cereals,Cream crackers
454,28-06-2020,99.6,Bread and cereals,Cream crackers
455,05-07-2020,100.2,Bread and cereals,Cream crackers
456,12-07-2020,99,Bread and cereals,Cream crackers
457,19-07-2020,99.4,Bread and cereals,Cream crackers
458,26-07-2020,99.5,Bread and cereals,Cream crackers
459,02-08-2020,99.5,Bread and cereals,Cream crackers
460,09-08-2020,99.3,Bread and cereals,Cream crackers
461,16-08-2020,98.7,Bread and cereals,Cream crackers
462,23-08-2020,98.2,Bread and cereals,Cream crackers
463,30-08-2020,98.4,Bread and cereals,Cream crackers
464,06-09-2020,98.4,Bread and cereals,Cream crackers
465,13-09-2020,97.5,Bread and cereals,Cream crackers
466,20-09-2020,97.6,Bread and cereals,Cream crackers
467,27-09-2020,98.9,Bread and cereals,Cream crackers
468,04-10-2020,99.8,Bread and cereals,Cream crackers
469,11-10-2020,100.1,Bread and cereals,Cream crackers
470,18-10-2020,98.5,Bread and cereals,Cream crackers
471,25-10-2020,98.1,Bread and cereals,Cream crackers
472,01-11-2020,98,Bread and cereals,Cream crackers
473,08-11-2020,98.1,Bread and cereals,Cream crackers
474,15-11-2020,98.2,Bread and cereals,Cream crackers
475,22-11-2020,98.6,Bread and cereals,Cream crackers
476,29-11-2020,98.5,Bread and cereals,Cream crackers
477,06-12-2020,98,Bread and cereals,Cream crackers
478,13-12-2020,97.6,Bread and cereals,Cream crackers
479,20-12-2020,97.5,Bread and cereals,Cream crackers
480,27-12-2020,97.4,Bread and cereals,Cream crackers
481,03-01-2021,98,Bread and cereals,Cream crackers
482,10-01-2021,99.5,Bread and cereals,Cream crackers
483,17-01-2021,99.5,Bread and cereals,Cream crackers
484,24-01-2021,98.6,Bread and cereals,Cream crackers
485,31-01-2021,98,Bread and cereals,Cream crackers
486,07-02-2021,98.9,Bread and cereals,Cream crackers
487,14-02-2021,99.7,Bread and cereals,Cream crackers
488,21-02-2021,100.3,Bread and cereals,Cream crackers
489,28-02-2021,101.5,Bread and cereals,Cream crackers
490,07-03-2021,101.2,Bread and cereals,Cream crackers
491,14-03-2021,99.6,Bread and cereals,Cream crackers
492,07-06-2020,100,Bread and cereals,Crumpets
493,14-06-2020,100.3,Bread and cereals,Crumpets
494,21-06-2020,100.3,Bread and cereals,Crumpets
495,28-06-2020,99.2,Bread and cereals,Crumpets
496,05-07-2020,99.8,Bread and cereals,Crumpets
497,12-07-2020,100,Bread and cereals,Crumpets
498,19-07-2020,101.2,Bread and cereals,Crumpets
499,26-07-2020,101.3,Bread and cereals,Crumpets
500,02-08-2020,99.3,Bread and cereals,Crumpets
501,09-08-2020,98.7,Bread and cereals,Crumpets
502,16-08-2020,97.8,Bread and cereals,Crumpets
503,23-08-2020,98.7,Bread and cereals,Crumpets
504,30-08-2020,99.4,Bread and cereals,Crumpets
505,06-09-2020,100.4,Bread and cereals,Crumpets
506,13-09-2020,99.5,Bread and cereals,Crumpets
507,20-09-2020,98.9,Bread and cereals,Crumpets
508,27-09-2020,99,Bread and cereals,Crumpets
509,04-10-2020,99.4,Bread and cereals,Crumpets
510,11-10-2020,99.8,Bread and cereals,Crumpets
511,18-10-2020,99.4,Bread and cereals,Crumpets
512,25-10-2020,98.6,Bread and cereals,Crumpets
513,01-11-2020,98.1,Bread and cereals,Crumpets
514,08-11-2020,97.3,Bread and cereals,Crumpets
515,15-11-2020,97.4,Bread and cereals,Crumpets
516,22-11-2020,98.8,Bread and cereals,Crumpets
517,29-11-2020,99.1,Bread and cereals,Crumpets
518,06-12-2020,99.7,Bread and cereals,Crumpets
